Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,194930,0,2,0,0,0,0,0,0,0,0,0,0,0,10.26009337,194930,0,194930,194930,0,0,0,0,0,194930,194930,0,194930,194930,0,0,0,0,0,40,0,10.26009337,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,2050,0,0,0,0,0,0,0,0,0,0,No Label
6,0,1,1,0,39,0,0,0,0,39,39,39,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,39,26,22.5166605,507,0,0,0,1,1,0,0,0,1,39,0,39,0,0,0,0,0,0,1,0,1,39,-1,265,0,0,0,0,0,0,0,0,0,0,No Label
6,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1021,0,0,0,0,0,0,0,0,0,0,No Label
6,330,1,2,0,39,0,0,0,0,39,0,19.5,27.57716447,118181.8182,9090.909091,165,100.4091629,236,94,0,0,0,0,0,236,236,0,236,236,0,1,0,0,20,40,3030.30303,6060.606061,0,39,19.5,22.5166605,507,0,0,0,1,1,0,0,0,2,26,0,19.5,0,0,0,0,0,0,1,0,2,39,-1,1018,0,0,0,0,0,0,0,0,0,0,No Label
6,93,1,1,0,0,0,0,0,0,0,0,0,0,0,21505.37634,93,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10752.68817,10752.68817,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1018,0,0,0,0,0,0,0,0,0,0,No Label
6,7571712,17,20,1587,14042,769,0,93.35294118,216.2076378,1400,0,702.1,673.6351425,2064.130279,4.886609528,210325.3333,1137474.718,6841972,0,7444910,465306.875,1701050.569,6842020,116,729740,38407.36842,46868.08064,153328,0,0,0,0,0,340,424,2.245198972,2.641410555,0,1400,411.2894737,591.5812484,349968.3734,0,1,0,0,0,0,0,0,1,422.4054054,93.35294118,702.1,0,0,0,0,0,0,17,1587,20,14042,-1,2050,5,0,0,0,0,0,0,0,0,0,No Label
6,51756,0,2,0,0,0,0,0,0,0,0,0,0,0,38.64286266,51756,0,51756,51756,0,0,0,0,0,51756,51756,0,51756,51756,0,0,0,0,0,40,0,38.64286266,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,124,0,0,0,0,0,0,0,0,0,0,No Label
6,53190,0,2,0,0,0,0,0,0,0,0,0,0,0,37.60105283,53190,0,53190,53190,0,0,0,0,0,53190,53190,0,53190,53190,0,0,0,0,0,40,0,37.60105283,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,124,0,0,0,0,0,0,0,0,0,0,No Label
6,7537260,11,13,4520,6450,1400,0,410.9090909,579.558531,1400,0,496.1538462,643.8124528,1455.43606,3.184180989,327706.9565,1257205.865,6073561,0,7302350,730235,1886081.785,6073561,0,1424085,118673.75,130340.058,375548,2749,0,0,0,0,232,284,1.459416287,1.724764702,0,1400,438.8,597.7973458,357361.6667,0,1,0,0,0,0,0,0,1,457.0833333,410.9090909,496.1538462,0,0,0,0,0,0,11,4520,13,6450,-1,2046,6,0,0,0,0,0,0,0,0,0,No Label
0,119090494,119,121,0,0,0,0,0,0,0,0,0,0,0,2.0152742,498286.5858,491865.0443,1002866,1635,1.18E+08,1000749.11,1224.145436,1005141,999549,1.19E+08,992420.7833,97290.58147,1121795,1825,0,0,0,0,0,0,0.999240124,1.016034076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119,0,121,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
6,117192483,68,62,3752,3812,244,0,55.17647059,71.83873756,603,0,61.48387097,138.202719,64.54338885,1.109286165,908468.8605,2961929.588,2.59E+07,0,1.07E+08,1599391.552,3834774.33,2.59E+07,0,1.17E+08,1919401.967,4118662.794,2.61E+07,118,0,1,0,0,1360,1264,0.580241994,0.529044171,0,603,58.03816794,107.8649016,11634.83699,0,0,0,1,1,0,0,0,0,58.48461538,55.17647059,61.48387097,0,0,0,0,0,0,68,3752,62,3812,-1,257,42,0,7557544.4,7918793.579,2.10E+07,39756,1.24E+07,8698257.541,2.59E+07,5004183,No Label
6,83337906,4,7,3794,362,1400,1,948.5,660.1618488,361,0,51.71428571,136.3826899,49.86926357,0.131992757,8333790.6,1.74E+07,4.50E+07,0,4.55E+07,1.52E+07,2.63E+07,4.55E+07,0,8.33E+07,1.39E+07,2.14E+07,4.52E+07,71969,0,0,0,0,80,164,0.047997366,0.083995391,0,1400,346.4166667,571.7849975,326938.0833,0,0,0,0,1,0,0,0,1,377.9090909,948.5,51.71428571,0,0,0,0,0,0,4,3794,7,362,-1,2046,4,0,361246,184832.0557,491942,230550,4.12E+07,5385758.702,4.50E+07,3.74E+07,No Label
6,66134440,1,3,1,1,1,1,1,0,1,0,0.333333333,0.577350269,0.030241429,0.060482859,2.20E+07,3.78E+07,6.57E+07,87616,0,0,0,0,0,6.61E+07,3.31E+07,4.66E+07,6.60E+07,87616,0,0,0,0,20,84,0.015120715,0.045362144,0,1,0.6,0.547722558,0.3,0,0,0,0,1,0,0,0,3,0.75,1,0.333333333,0,0,0,0,0,0,1,1,3,1,-1,222,1,0,87616,0,87616,87616,6.57E+07,0,6.57E+07,6.57E+07,No Label
